Kabupaten/Kota,
,Persentase Penduduk Miskin Menurut Kabupaten/Kota di Jawa Barat (Persen)
,2019
Provinsi Jawa Barat,6.91
Bogor,6.66
Sukabumi,6.22
Cianjur,9.15
Bandung,5.94
Garut,8.98
Tasikmalaya,9.12
Ciamis,6.65
Kuningan,11.41
Cirebon,9.94
Majalengka,10.06
Sumedang,9.05
Indramayu,11.11
Subang,8.12
Purwakarta,7.48
Karawang,7.39
Bekasi,4.01
Bandung Barat,9.38
Pangandaran,7.71
Kota Bogor,5.77
Kota Sukabumi,6.67
Kota Bandung,3.38
Kota Cirebon,8.41
Kota Bekasi,3.81
Kota Depok,2.07
Kota Cimahi,4.39
Kota Tasikmalaya,11.6
Kota Banjar,5.5
