id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_nakesmas,satuan,tahun
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,216,ORANG,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,92,ORANG,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,94,ORANG,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,108,ORANG,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,95,ORANG,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,73,ORANG,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,82,ORANG,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,62,ORANG,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,105,ORANG,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,45,ORANG,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,65,ORANG,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,154,ORANG,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,61,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,16,ORANG,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,46,ORANG,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,22,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,90,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,46,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,99,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,31,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,175,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,37,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,105,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,65,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,78,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,20,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,17,ORANG,2019
