id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,70.4,POIN,2020
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,66.88,POIN,2020
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,65.36,POIN,2020
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,72.39,POIN,2020
275,32,JAWA BARAT,3205,KABUPATEN GARUT,66.12,POIN,2020
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,65.67,POIN,2020
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70.49,POIN,2020
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,69.38,POIN,2020
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,68.75,POIN,2020
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,67.59,POIN,2020
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,71.64,POIN,2020
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,67.29,POIN,2020
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,68.95,POIN,2020
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70.82,POIN,2020
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,70.66,POIN,2020
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,74.07,POIN,2020
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,68.08,POIN,2020
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,68.06,POIN,2020
289,32,JAWA BARAT,3271,KOTA BOGOR,76.11,POIN,2020
290,32,JAWA BARAT,3272,KOTA SUKABUMI,74.21,POIN,2020
291,32,JAWA BARAT,3273,KOTA BANDUNG,81.51,POIN,2020
292,32,JAWA BARAT,3274,KOTA CIREBON,74.89,POIN,2020
293,32,JAWA BARAT,3275,KOTA BEKASI,81.5,POIN,2020
294,32,JAWA BARAT,3276,KOTA DEPOK,80.97,POIN,2020
295,32,JAWA BARAT,3277,KOTA CIMAHI,77.83,POIN,2020
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,73.04,POIN,2020
297,32,JAWA BARAT,3279,KOTA BANJAR,71.7,POIN,2020
