id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,92.13,PERSEN,2020
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,79.98,PERSEN,2020
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,82.73,PERSEN,2020
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,95.87,PERSEN,2020
59,32,JAWA BARAT,3205,KABUPATEN GARUT,81.86,PERSEN,2020
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,85.17,PERSEN,2020
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,89.4,PERSEN,2020
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,93.37,PERSEN,2020
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,96.12,PERSEN,2020
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,97.19,PERSEN,2020
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,94.96,PERSEN,2020
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,98.14,PERSEN,2020
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,97.78,PERSEN,2020
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,80.37,PERSEN,2020
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,97.62,PERSEN,2020
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,98.23,PERSEN,2020
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,93.26,PERSEN,2020
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,90.91,PERSEN,2020
73,32,JAWA BARAT,3271,KOTA BOGOR,99.02,PERSEN,2020
74,32,JAWA BARAT,3272,KOTA SUKABUMI,96.84,PERSEN,2020
75,32,JAWA BARAT,3273,KOTA BANDUNG,98.43,PERSEN,2020
76,32,JAWA BARAT,3274,KOTA CIREBON,99.36,PERSEN,2020
77,32,JAWA BARAT,3275,KOTA BEKASI,99.74,PERSEN,2020
78,32,JAWA BARAT,3276,KOTA DEPOK,100.0,PERSEN,2020
79,32,JAWA BARAT,3277,KOTA CIMAHI,99.04,PERSEN,2020
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,94.17,PERSEN,2020
81,32,JAWA BARAT,3279,KOTA BANJAR,98.88,PERSEN,2020
