id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
298,32,JAWA BARAT,3201,KABUPATEN BOGOR,5484.15,RIBU ORANG,2021
299,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2747.45,RIBU ORANG,2021
300,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2500.64,RIBU ORANG,2021
301,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3652.4,RIBU ORANG,2021
302,32,JAWA BARAT,3205,KABUPATEN GARUT,2613.53,RIBU ORANG,2021
303,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1876.89,RIBU ORANG,2021
304,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1234.83,RIBU ORANG,2021
305,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1175.95,RIBU ORANG,2021
306,32,JAWA BARAT,3209,KABUPATEN CIREBON,2301.33,RIBU ORANG,2021
307,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1315.01,RIBU ORANG,2021
308,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1159.26,RIBU ORANG,2021
309,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1851.73,RIBU ORANG,2021
310,32,JAWA BARAT,3213,KABUPATEN SUBANG,1620.7,RIBU ORANG,2021
311,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1008.93,RIBU ORANG,2021
312,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2465.57,RIBU ORANG,2021
313,32,JAWA BARAT,3216,KABUPATEN BEKASI,3148.74,RIBU ORANG,2021
314,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1808.42,RIBU ORANG,2021
315,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,425.59,RIBU ORANG,2021
316,32,JAWA BARAT,3271,KOTA BOGOR,1050.92,RIBU ORANG,2021
317,32,JAWA BARAT,3272,KOTA SUKABUMI,350.15,RIBU ORANG,2021
318,32,JAWA BARAT,3273,KOTA BANDUNG,2461.41,RIBU ORANG,2021
319,32,JAWA BARAT,3274,KOTA CIREBON,335.81,RIBU ORANG,2021
320,32,JAWA BARAT,3275,KOTA BEKASI,2568.02,RIBU ORANG,2021
321,32,JAWA BARAT,3276,KOTA DEPOK,2081.13,RIBU ORANG,2021
322,32,JAWA BARAT,3277,KOTA CIMAHI,574.45,RIBU ORANG,2021
323,32,JAWA BARAT,3278,KOTA TASIKMALAYA,723.1,RIBU ORANG,2021
324,32,JAWA BARAT,3279,KOTA BANJAR,202.72,RIBU ORANG,2021
