id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,73.47,PERSEN,2022
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,63.32,PERSEN,2022
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,61.76,PERSEN,2022
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,70.85,PERSEN,2022
86,32,JAWA BARAT,3205,KABUPATEN GARUT,51.9,PERSEN,2022
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,54.39,PERSEN,2022
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,75.5,PERSEN,2022
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,69.29,PERSEN,2022
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,86.76,PERSEN,2022
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,81.26,PERSEN,2022
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,80.59,PERSEN,2022
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,86.64,PERSEN,2022
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,80.02,PERSEN,2022
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,82.46,PERSEN,2022
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,85.1,PERSEN,2022
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,89.99,PERSEN,2022
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,50.96,PERSEN,2022
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,83.0,PERSEN,2022
100,32,JAWA BARAT,3271,KOTA BOGOR,67.93,PERSEN,2022
101,32,JAWA BARAT,3272,KOTA SUKABUMI,45.8,PERSEN,2022
102,32,JAWA BARAT,3273,KOTA BANDUNG,49.85,PERSEN,2022
103,32,JAWA BARAT,3274,KOTA CIREBON,90.62,PERSEN,2022
104,32,JAWA BARAT,3275,KOTA BEKASI,90.8,PERSEN,2022
105,32,JAWA BARAT,3276,KOTA DEPOK,96.21,PERSEN,2022
106,32,JAWA BARAT,3277,KOTA CIMAHI,77.18,PERSEN,2022
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,52.62,PERSEN,2022
108,32,JAWA BARAT,3279,KOTA BANJAR,88.26,PERSEN,2022
