id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,751,ORANG,2022
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,177,ORANG,2022
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,219,ORANG,2022
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,502,ORANG,2022
113,32,JAWA BARAT,3205,KABUPATEN GARUT,212,ORANG,2022
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,86,ORANG,2022
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,106,ORANG,2022
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,165,ORANG,2022
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,340,ORANG,2022
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,168,ORANG,2022
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,149,ORANG,2022
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,592,ORANG,2022
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,289,ORANG,2022
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,174,ORANG,2022
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,414,ORANG,2022
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,563,ORANG,2022
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,174,ORANG,2022
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,39,ORANG,2022
127,32,JAWA BARAT,3271,KOTA BOGOR,408,ORANG,2022
128,32,JAWA BARAT,3272,KOTA SUKABUMI,165,ORANG,2022
129,32,JAWA BARAT,3273,KOTA BANDUNG,1135,ORANG,2022
130,32,JAWA BARAT,3274,KOTA CIREBON,346,ORANG,2022
131,32,JAWA BARAT,3275,KOTA BEKASI,906,ORANG,2022
132,32,JAWA BARAT,3276,KOTA DEPOK,321,ORANG,2022
133,32,JAWA BARAT,3277,KOTA CIMAHI,164,ORANG,2022
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,192,ORANG,2022
135,32,JAWA BARAT,3279,KOTA BANJAR,55,ORANG,2022
