id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pengeluaran_per_kapita,satuan,tahun
349,32,JAWA BARAT,3201,KABUPATEN BOGOR,11153.0,RIBU RUPIAH/ORANG/TAHUN,2023
350,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9482.0,RIBU RUPIAH/ORANG/TAHUN,2023
351,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8626.0,RIBU RUPIAH/ORANG/TAHUN,2023
352,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11018.0,RIBU RUPIAH/ORANG/TAHUN,2023
353,32,JAWA BARAT,3205,KABUPATEN GARUT,8685.0,RIBU RUPIAH/ORANG/TAHUN,2023
354,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8562.0,RIBU RUPIAH/ORANG/TAHUN,2023
355,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9750.0,RIBU RUPIAH/ORANG/TAHUN,2023
356,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10011.0,RIBU RUPIAH/ORANG/TAHUN,2023
357,32,JAWA BARAT,3209,KABUPATEN CIREBON,11128.0,RIBU RUPIAH/ORANG/TAHUN,2023
358,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10340.0,RIBU RUPIAH/ORANG/TAHUN,2023
359,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11136.0,RIBU RUPIAH/ORANG/TAHUN,2023
360,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10580.0,RIBU RUPIAH/ORANG/TAHUN,2023
361,32,JAWA BARAT,3213,KABUPATEN SUBANG,11537.0,RIBU RUPIAH/ORANG/TAHUN,2023
362,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12619.0,RIBU RUPIAH/ORANG/TAHUN,2023
363,32,JAWA BARAT,3215,KABUPATEN KARAWANG,12392.0,RIBU RUPIAH/ORANG/TAHUN,2023
364,32,JAWA BARAT,3216,KABUPATEN BEKASI,12123.0,RIBU RUPIAH/ORANG/TAHUN,2023
365,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9392.0,RIBU RUPIAH/ORANG/TAHUN,2023
366,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9406.0,RIBU RUPIAH/ORANG/TAHUN,2023
367,32,JAWA BARAT,3271,KOTA BOGOR,12656.0,RIBU RUPIAH/ORANG/TAHUN,2023
368,32,JAWA BARAT,3272,KOTA SUKABUMI,11799.0,RIBU RUPIAH/ORANG/TAHUN,2023
369,32,JAWA BARAT,3273,KOTA BANDUNG,18236.0,RIBU RUPIAH/ORANG/TAHUN,2023
370,32,JAWA BARAT,3274,KOTA CIREBON,12506.0,RIBU RUPIAH/ORANG/TAHUN,2023
371,32,JAWA BARAT,3275,KOTA BEKASI,16479.0,RIBU RUPIAH/ORANG/TAHUN,2023
372,32,JAWA BARAT,3276,KOTA DEPOK,16279.0,RIBU RUPIAH/ORANG/TAHUN,2023
373,32,JAWA BARAT,3277,KOTA CIMAHI,12883.0,RIBU RUPIAH/ORANG/TAHUN,2023
374,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11063.0,RIBU RUPIAH/ORANG/TAHUN,2023
375,32,JAWA BARAT,3279,KOTA BANJAR,11356.0,RIBU RUPIAH/ORANG/TAHUN,2023
