id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,persentase_rumah_tangga,satuan,tahun
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,44.56,PERSEN,2023
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,30.51,PERSEN,2023
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,31.5,PERSEN,2023
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,49.48,PERSEN,2023
113,32,JAWA BARAT,3205,KABUPATEN GARUT,36.67,PERSEN,2023
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,36.95,PERSEN,2023
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,57.76,PERSEN,2023
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,74.44,PERSEN,2023
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,78.78,PERSEN,2023
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,72.19,PERSEN,2023
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,59.63,PERSEN,2023
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,86.35,PERSEN,2023
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,80.35,PERSEN,2023
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,57.57,PERSEN,2023
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,69.96,PERSEN,2023
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,65.49,PERSEN,2023
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,41.14,PERSEN,2023
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,54.98,PERSEN,2023
127,32,JAWA BARAT,3271,KOTA BOGOR,49.3,PERSEN,2023
128,32,JAWA BARAT,3272,KOTA SUKABUMI,34.02,PERSEN,2023
129,32,JAWA BARAT,3273,KOTA BANDUNG,41.17,PERSEN,2023
130,32,JAWA BARAT,3274,KOTA CIREBON,76.49,PERSEN,2023
131,32,JAWA BARAT,3275,KOTA BEKASI,61.61,PERSEN,2023
132,32,JAWA BARAT,3276,KOTA DEPOK,50.79,PERSEN,2023
133,32,JAWA BARAT,3277,KOTA CIMAHI,51.42,PERSEN,2023
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,48.82,PERSEN,2023
135,32,JAWA BARAT,3279,KOTA BANJAR,75.21,PERSEN,2023
