id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_faskes,jumlah_faskes,satuan,tahun
811,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT UMUM,28,UNIT,2024
812,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT KHUSUS,3,UNIT,2024
813,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT BERSALIN,0,UNIT,2024
814,32,JAWA BARAT,3201,KABUPATEN BOGOR,PUSKESMAS,101,UNIT,2024
815,32,JAWA BARAT,3201,KABUPATEN BOGOR,POSYANDU,5152,UNIT,2024
816,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT UMUM,9,UNIT,2024
817,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT KHUSUS,0,UNIT,2024
818,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT BERSALIN,0,UNIT,2024
819,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PUSKESMAS,58,UNIT,2024
820,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,POSYANDU,3568,UNIT,2024
821,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT UMUM,7,UNIT,2024
822,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT KHUSUS,0,UNIT,2024
823,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT BERSALIN,0,UNIT,2024
824,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PUSKESMAS,47,UNIT,2024
825,32,JAWA BARAT,3203,KABUPATEN CIANJUR,POSYANDU,2950,UNIT,2024
826,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT UMUM,17,UNIT,2024
827,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT KHUSUS,0,UNIT,2024
828,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT BERSALIN,0,UNIT,2024
829,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PUSKESMAS,62,UNIT,2024
830,32,JAWA BARAT,3204,KABUPATEN BANDUNG,POSYANDU,4357,UNIT,2024
831,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT UMUM,9,UNIT,2024
832,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT KHUSUS,0,UNIT,2024
833,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH SAKIT BERSALIN,0,UNIT,2024
834,32,JAWA BARAT,3205,KABUPATEN GARUT,PUSKESMAS,67,UNIT,2024
835,32,JAWA BARAT,3205,KABUPATEN GARUT,POSYANDU,4379,UNIT,2024
836,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH SAKIT UMUM,2,UNIT,2024
837,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH SAKIT KHUSUS,1,UNIT,2024
838,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH SAKIT BERSALIN,0,UNIT,2024
839,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PUSKESMAS,40,UNIT,2024
840,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,POSYANDU,2429,UNIT,2024
841,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH SAKIT UMUM,5,UNIT,2024
842,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH SAKIT KHUSUS,1,UNIT,2024
843,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH SAKIT BERSALIN,0,UNIT,2024
